"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate"
"Both Sexes","All Races","New Jersey","Both","All Ages","1999","2013","Homicide Firearm","2001","185","8492671","2.18"
"Both Sexes","All Races","New Mexico","Both","All Ages","1999","2013","Homicide Firearm","2001","67","1831690","3.66"
"Both Sexes","All Races","New York","Both","All Ages","1999","2013","Homicide Firearm","2001","583","19082838","3.06"
"Both Sexes","All Races","North Carolina","Both","All Ages","1999","2013","Homicide Firearm","2001","418","8210122","5.09"
"Both Sexes","All Races","North Dakota","Both","All Ages","1999","2013","Homicide Firearm","2001","P","639062","."
"Both Sexes","All Races","Ohio","Both","All Ages","1999","2013","Homicide Firearm","2001","316","11387404","2.77"
"Both Sexes","All Races","Oklahoma","Both","All Ages","1999","2013","Homicide Firearm","2001","126","3467100","3.63"
"Both Sexes","All Races","Oregon","Both","All Ages","1999","2013","Homicide Firearm","2001","47","3467937","1.36"
"Both Sexes","All Races","Pennsylvania","Both","All Ages","1999","2013","Homicide Firearm","2001","444","12298970","3.61"
"Both Sexes","All Races","Rhode Island","Both","All Ages","1999","2013","Homicide Firearm","2001","20","1057142","1.89"
"Both Sexes","All Races","South Carolina","Both","All Ages","1999","2013","Homicide Firearm","2001","228","4064995","5.61"
"Both Sexes","All Races","South Dakota","Both","All Ages","1999","2013","Homicide Firearm","2001","P","757972","."
"Both Sexes","All Races","Tennessee","Both","All Ages","1999","2013","Homicide Firearm","2001","307","5750789","5.34"
"Both Sexes","All Races","Texas","Both","All Ages","1999","2013","Homicide Firearm","2001","873","21319622","4.09"
"Both Sexes","All Races","Utah","Both","All Ages","1999","2013","Homicide Firearm","2001","40","2283715","1.75"
"Both Sexes","All Races","Vermont","Both","All Ages","1999","2013","Homicide Firearm","2001","P","612223","."
"Both Sexes","All Races","Virginia","Both","All Ages","1999","2013","Homicide Firearm","2001","275","7198362","3.82"
"Both Sexes","All Races","Washington","Both","All Ages","1999","2013","Homicide Firearm","2001","106","5985722","1.77"
"Both Sexes","All Races","West Virginia","Both","All Ages","1999","2013","Homicide Firearm","2001","38","1801481","2.11"
"Both Sexes","All Races","Wisconsin","Both","All Ages","1999","2013","Homicide Firearm","2001","134","5406835","2.48"
"Both Sexes","All Races","Wyoming","Both","All Ages","1999","2013","Homicide Firearm","2001","P","494657","."
"Both Sexes","All Races","","Both","All Ages","1999","2013","Homicide Firearm","2001","11348","284968955","3.98"
"Both Sexes","All Races","Alabama","Both","All Ages","1999","2013","Homicide Firearm","2002","292","4480089","6.52"
"Both Sexes","All Races","Alaska","Both","All Ages","1999","2013","Homicide Firearm","2002","26","642337","4.05"
"Both Sexes","All Races","Arizona","Both","All Ages","1999","2013","Homicide Firearm","2002","355","5396255","6.58"
"Both Sexes","All Races","Arkansas","Both","All Ages","1999","2013","Homicide Firearm","2002","146","2705927","5.4"
"Both Sexes","All Races","California","Both","All Ages","1999","2013","Homicide Firearm","2002","1810","34871843","5.19"
"Both Sexes","All Races","Colorado","Both","All Ages","1999","2013","Homicide Firearm","2002","116","4490406","2.58"
"Both Sexes","All Races","Connecticut","Both","All Ages","1999","2013","Homicide Firearm","2002","57","3458749","1.65"
"Both Sexes","All Races","Delaware","Both","All Ages","1999","2013","Homicide Firearm","2002","28","806169","3.47"
"Both Sexes","All Races","District of Columbia","Both","All Ages","1999","2013","Homicide Firearm","2002","176","573158","30.71"
"Both Sexes","All Races","Florida","Both","All Ages","1999","2013","Homicide Firearm","2002","635","16689370","3.8"
"Both Sexes","All Races","Georgia","Both","All Ages","1999","2013","Homicide Firearm","2002","477","8508256","5.61"
"Both Sexes","All Races","Hawaii","Both","All Ages","1999","2013","Homicide Firearm","2002","15","1239613","1.21"
"Both Sexes","All Races","Idaho","Both","All Ages","1999","2013","Homicide Firearm","2002","15","1340372","1.12"
"Both Sexes","All Races","Illinois","Both","All Ages","1999","2013","Homicide Firearm","2002","728","12525556","5.81"
"Both Sexes","All Races","Indiana","Both","All Ages","1999","2013","Homicide Firearm","2002","242","6155967","3.93"
